kind,fanout,hops,edges,kernel,write_bulk_ms,write_edges_per_s,write_us_per_edge,write_sample_count,write_p50_us,write_p95_us,write_p99_us,build_ms,supernode_degree_cold_us,supernode_exists_cold_us,supernode_page_cold_us,cold_us,warm_us,hot_p50_us,hot_p95_us,hot_p99_us,hot_mean_us,hot_qps,hot_result_vertices_per_s,hot_edge_visits_per_s,result_vertices,edge_visits,delta_records,cold_cache_hydrations,warm_cache_hits,warm_cache_misses
traversal,50,1,600,SuiteSparseGraphBlas,108,5521.15,181.12,32,101410,102145,102312,228,830,2,4,3050,3787,24,127,127,39.14,25166.46,1258322.91,1258322.91,50,50,0,2,14,2
traversal,50,3,600,SuiteSparseGraphBlas,108,5521.15,181.12,32,101410,102145,102312,228,830,2,4,2794,3651,53,138,138,68.43,14462.51,2169376.67,2169376.67,150,150,0,2,14,2
traversal,50,5,600,SuiteSparseGraphBlas,108,5521.15,181.12,32,101410,102145,102312,228,830,2,4,2744,3225,76,149,149,87.00,11396.99,2849248.69,2849248.69,250,250,0,2,14,2
traversal,50,10,600,SuiteSparseGraphBlas,108,5521.15,181.12,32,101410,102145,102312,228,830,2,4,2879,3759,95,176,176,108.86,9112.80,4556401.74,4556401.74,500,500,0,2,14,2
traversal,50,12,600,SuiteSparseGraphBlas,108,5521.15,181.12,32,101410,102145,102312,228,830,2,4,3158,2596,134,178,178,130.29,7653.13,4591880.24,4591880.24,600,600,0,2,14,2
traversal,100,1,1200,SuiteSparseGraphBlas,115,10386.81,96.28,32,101180,102027,102143,179,672,3,5,6077,3705,27,134,134,41.57,23646.09,2364609.23,2364609.23,100,100,0,2,14,2
traversal,100,3,1200,SuiteSparseGraphBlas,115,10386.81,96.28,32,101180,102027,102143,179,672,3,5,3186,3342,60,143,143,70.00,14115.41,4234622.27,4234622.27,300,300,0,2,14,2
traversal,100,5,1200,SuiteSparseGraphBlas,115,10386.81,96.28,32,101180,102027,102143,179,672,3,5,3639,3671,93,192,192,119.00,8354.50,4177249.03,4177249.03,500,500,0,2,14,2
traversal,100,10,1200,SuiteSparseGraphBlas,115,10386.81,96.28,32,101180,102027,102143,179,672,3,5,4355,3303,165,225,225,175.86,5664.45,5664447.82,5664447.82,1000,1000,0,2,14,2
traversal,100,12,1200,SuiteSparseGraphBlas,115,10386.81,96.28,32,101180,102027,102143,179,672,3,5,3318,3370,146,249,249,163.71,6074.75,7289705.03,7289705.03,1200,1200,0,2,14,2
traversal,1000,1,12000,SuiteSparseGraphBlas,532,22541.63,44.36,32,101147,102102,106051,203,1414,5,11,6544,6154,40,126,126,63.00,15767.75,15767754.49,15767754.49,1000,1000,0,2,14,2
traversal,1000,3,12000,SuiteSparseGraphBlas,532,22541.63,44.36,32,101147,102102,106051,203,1414,5,11,6131,6643,273,443,443,307.29,3247.72,9743147.44,9743147.44,3000,3000,0,2,14,2
traversal,1000,5,12000,SuiteSparseGraphBlas,532,22541.63,44.36,32,101147,102102,106051,203,1414,5,11,7875,18815,401,518,518,383.00,2604.60,13022984.45,13022984.45,5000,5000,0,2,14,2
traversal,1000,10,12000,SuiteSparseGraphBlas,532,22541.63,44.36,32,101147,102102,106051,203,1414,5,11,8392,6348,903,1054,1054,892.00,1119.84,11198356.98,11198356.98,10000,10000,0,2,14,2
traversal,1000,12,12000,SuiteSparseGraphBlas,532,22541.63,44.36,32,101147,102102,106051,203,1414,5,11,8221,6700,962,1173,1173,961.86,1038.52,12462192.45,12462192.45,12000,12000,0,2,14,2
traversal,10000,1,120000,SuiteSparseGraphBlas,13068,9182.57,108.90,32,100948,101967,102064,996,1386,8264,25,49979,42712,572,935,935,651.43,1532.93,15329338.80,15329338.80,10000,10000,0,2,14,2
traversal,10000,3,120000,SuiteSparseGraphBlas,13068,9182.57,108.90,32,100948,101967,102064,996,1386,8264,25,56646,47308,2401,2723,2723,2346.43,425.98,12779325.63,12779325.63,30000,30000,0,2,14,2
traversal,10000,5,120000,SuiteSparseGraphBlas,13068,9182.57,108.90,32,100948,101967,102064,996,1386,8264,25,33446,34233,2269,3766,3766,2818.00,354.74,17737125.86,17737125.86,50000,50000,0,2,14,2
traversal,10000,10,120000,SuiteSparseGraphBlas,13068,9182.57,108.90,32,100948,101967,102064,996,1386,8264,25,45523,37505,4231,4785,4785,4283.14,233.42,23341728.58,23341728.58,100000,100000,0,2,14,2
traversal,10000,12,120000,SuiteSparseGraphBlas,13068,9182.57,108.90,32,100948,101967,102064,996,1386,8264,25,53908,51450,9198,12006,12006,9747.71,102.57,12308785.40,12308785.40,120000,120000,0,2,14,2
