kind,fanout,hops,edges,kernel,write_bulk_ms,write_edges_per_s,write_us_per_edge,write_sample_count,write_p50_us,write_p95_us,write_p99_us,build_ms,supernode_degree_cold_us,supernode_exists_cold_us,supernode_page_cold_us,cold_us,warm_us,hot_p50_us,hot_p95_us,hot_p99_us,hot_mean_us,hot_qps,hot_result_vertices_per_s,hot_edge_visits_per_s,result_vertices,edge_visits,delta_records,cold_cache_hydrations,warm_cache_hits,warm_cache_misses
traversal,50,1,600,SuiteSparseGraphBlas,105,5677.49,176.13,32,101160,102091,102209,223,554,1,2,1821,1853,12,41,41,16.57,58682.49,2934124.71,2934124.71,50,50,0,2,14,2
traversal,50,3,600,SuiteSparseGraphBlas,105,5677.49,176.13,32,101160,102091,102209,223,554,1,2,2074,2280,24,64,64,30.00,32700.04,4905006.38,4905006.38,150,150,0,2,14,2
traversal,50,5,600,SuiteSparseGraphBlas,105,5677.49,176.13,32,101160,102091,102209,223,554,1,2,1822,1830,34,72,72,40.14,24561.32,6140329.33,6140329.33,250,250,0,2,14,2
traversal,50,10,600,SuiteSparseGraphBlas,105,5677.49,176.13,32,101160,102091,102209,223,554,1,2,1815,2721,62,113,113,69.43,14307.03,7153514.42,7153514.42,500,500,0,2,14,2
traversal,50,12,600,SuiteSparseGraphBlas,105,5677.49,176.13,32,101160,102091,102209,223,554,1,2,2119,1784,73,105,105,77.57,12800.37,7680224.70,7680224.70,600,600,0,2,14,2
traversal,100,1,1200,SuiteSparseGraphBlas,108,11040.22,90.58,32,100916,101866,101875,200,498,1,2,1974,1883,33,90,90,37.86,25973.83,2597383.32,2597383.32,100,100,0,2,14,2
traversal,100,3,1200,SuiteSparseGraphBlas,108,11040.22,90.58,32,100916,101866,101875,200,498,1,2,1994,2414,29,101,101,39.71,24797.55,7439263.73,7439263.73,300,300,0,2,14,2
traversal,100,5,1200,SuiteSparseGraphBlas,108,11040.22,90.58,32,100916,101866,101875,200,498,1,2,1989,2307,64,139,139,72.57,13668.32,6834162.22,6834162.22,500,500,0,2,14,2
traversal,100,10,1200,SuiteSparseGraphBlas,108,11040.22,90.58,32,100916,101866,101875,200,498,1,2,1915,2533,79,120,120,85.00,11676.42,11676416.47,11676416.47,1000,1000,0,2,14,2
traversal,100,12,1200,SuiteSparseGraphBlas,108,11040.22,90.58,32,100916,101866,101875,200,498,1,2,2328,2667,184,303,303,190.71,5223.97,6268768.99,6268768.99,1200,1200,0,2,14,2
