kind,fanout,hops,edges,kernel,write_bulk_ms,write_edges_per_s,write_us_per_edge,write_sample_count,write_p50_us,write_p95_us,write_p99_us,build_ms,supernode_degree_cold_us,supernode_exists_cold_us,supernode_page_cold_us,cold_us,warm_us,hot_p50_us,hot_p95_us,hot_p99_us,hot_mean_us,hot_qps,hot_result_vertices_per_s,hot_edge_visits_per_s,result_vertices,edge_visits,delta_records,cold_cache_hydrations,warm_cache_hits,warm_cache_misses
traversal,50,1,600,SuiteSparseGraphBlas,105,5663.31,176.57,32,100879,101998,102049,232,763,3,5,2897,3262,25,32,32,25.80,38144.94,1907246.77,1907246.77,50,50,0,2,10,2
traversal,50,3,600,SuiteSparseGraphBlas,105,5663.31,176.57,32,100879,101998,102049,232,763,3,5,2955,2792,30,43,43,33.60,29177.49,4376623.00,4376623.00,150,150,0,2,10,2
traversal,50,5,600,SuiteSparseGraphBlas,105,5663.31,176.57,32,100879,101998,102049,232,763,3,5,2848,2937,83,85,85,81.00,12228.02,3057004.58,3057004.58,250,250,0,2,10,2
traversal,50,10,600,SuiteSparseGraphBlas,105,5663.31,176.57,32,100879,101998,102049,232,763,3,5,2703,3820,70,115,115,78.00,12697.48,6348738.76,6348738.76,500,500,0,2,10,2
traversal,50,12,600,SuiteSparseGraphBlas,105,5663.31,176.57,32,100879,101998,102049,232,763,3,5,2699,2686,123,134,134,116.00,8588.62,5153169.37,5153169.37,600,600,0,2,10,2
traversal,100,1,1200,SuiteSparseGraphBlas,111,10749.09,93.03,32,100968,101932,102093,222,399,2,6,2526,2457,14,19,19,14.80,64997.53,6499753.01,6499753.01,100,100,0,2,10,2
traversal,100,3,1200,SuiteSparseGraphBlas,111,10749.09,93.03,32,100968,101932,102093,222,399,2,6,2238,2849,58,62,62,58.00,17030.09,5109026.63,5109026.63,300,300,0,2,10,2
traversal,100,5,1200,SuiteSparseGraphBlas,111,10749.09,93.03,32,100968,101932,102093,222,399,2,6,2700,2919,61,79,79,62.00,15960.93,7980463.82,7980463.82,500,500,0,2,10,2
traversal,100,10,1200,SuiteSparseGraphBlas,111,10749.09,93.03,32,100968,101932,102093,222,399,2,6,2327,1958,82,96,96,86.80,11438.74,11438742.10,11438742.10,1000,1000,0,2,10,2
traversal,100,12,1200,SuiteSparseGraphBlas,111,10749.09,93.03,32,100968,101932,102093,222,399,2,6,2439,2231,100,154,154,111.00,8949.01,10738812.39,10738812.39,1200,1200,0,2,10,2
traversal,1000,1,12000,SuiteSparseGraphBlas,602,19932.26,50.17,32,100973,101984,101991,221,741,2,7,4694,5141,32,41,41,35.00,27948.57,27948574.62,27948574.62,1000,1000,0,2,10,2
traversal,1000,3,12000,SuiteSparseGraphBlas,602,19932.26,50.17,32,100973,101984,101991,221,741,2,7,4930,4726,119,127,127,120.60,8242.09,24726280.08,24726280.08,3000,3000,0,2,10,2
traversal,1000,5,12000,SuiteSparseGraphBlas,602,19932.26,50.17,32,100973,101984,101991,221,741,2,7,4981,4895,202,210,210,202.80,4919.17,24595865.34,24595865.34,5000,5000,0,2,10,2
traversal,1000,10,12000,SuiteSparseGraphBlas,602,19932.26,50.17,32,100973,101984,101991,221,741,2,7,4826,4855,405,717,717,470.80,2120.95,21209456.53,21209456.53,10000,10000,0,2,10,2
traversal,1000,12,12000,SuiteSparseGraphBlas,602,19932.26,50.17,32,100973,101984,101991,221,741,2,7,5015,5498,507,556,556,516.40,1934.58,23214962.82,23214962.82,12000,12000,0,2,10,2
traversal,10000,1,120000,SuiteSparseGraphBlas,5164,23236.06,43.04,32,101065,102987,174096,735,1436,8041,22,50755,70114,366,426,426,330.60,3016.55,30165475.73,30165475.73,10000,10000,0,2,10,2
traversal,10000,3,120000,SuiteSparseGraphBlas,5164,23236.06,43.04,32,101065,102987,174096,735,1436,8041,22,36138,32956,1576,2291,2291,1650.60,605.55,18166560.47,18166560.47,30000,30000,0,2,10,2
traversal,10000,5,120000,SuiteSparseGraphBlas,5164,23236.06,43.04,32,101065,102987,174096,735,1436,8041,22,24655,22667,1767,1902,1902,1792.60,557.66,27882846.54,27882846.54,50000,50000,0,2,10,2
traversal,10000,10,120000,SuiteSparseGraphBlas,5164,23236.06,43.04,32,101065,102987,174096,735,1436,8041,22,37119,56292,5463,6061,6061,5393.60,185.35,18535139.05,18535139.05,100000,100000,0,2,10,2
traversal,10000,12,120000,SuiteSparseGraphBlas,5164,23236.06,43.04,32,101065,102987,174096,735,1436,8041,22,25143,22695,4408,4580,4580,4425.20,225.94,27112556.15,27112556.15,120000,120000,0,2,10,2
traversal,50000,1,600000,SuiteSparseGraphBlas,53762,11160.18,89.60,32,100986,102029,202508,6686,3125,61241,28,620596,973191,48801,85194,85194,48899.80,20.45,1022479.00,1022479.00,50000,50000,0,2,10,2
traversal,50000,3,600000,SuiteSparseGraphBlas,53762,11160.18,89.60,32,100986,102029,202508,6686,3125,61241,28,437393,222176,8453,14817,14817,10513.00,95.11,14266702.07,14266702.07,150000,150000,0,2,10,2
traversal,50000,5,600000,SuiteSparseGraphBlas,53762,11160.18,89.60,32,100986,102029,202508,6686,3125,61241,28,596012,203499,7192,9693,9693,7832.00,127.67,31917078.92,31917078.92,250000,250000,0,2,10,2
traversal,50000,12,600000,SuiteSparseGraphBlas,52728,11379.09,87.88,32,101538,202135,202706,3759,932,33722,12,837386,655748,31548,118598,118598,53211.60,18.79,11275611.25,11275611.25,600000,600000,0,2,10,2
traversal,50000,10,600000,SuiteSparseGraphBlas,41791,14356.98,69.65,32,101127,101793,202171,3981,1381,64468,28,496586,1008750,41202,118946,118946,49569.60,20.17,10086551.61,10086551.61,500000,500000,0,2,10,2
